topic	text	textwrap	x	y
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The most accurate review stated that these machines are adjunct to a good map and signs on the interstate .	The most accurate review stated that these machines are adjunct<br>to a good map and signs on the interstate .	5.3971353	1.1585381
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The directions are highly accurate down to a  T  .	The directions are highly accurate down to a  T  .	5.037449	1.4397577
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Depending on what you are using it for, it is a nice adjunct to a travel trip and the directions are accurate and usually the quickest, but not always .	Depending on what you are using it for, it is a nice adjunct to<br>a travel trip and the directions are accurate and usually the<br>quickest, but not always .	5.684593	1.5455674
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The screen is easy to see, the voice tells you where you are and it's very accurate .	The screen is easy to see, the voice tells you where you are and<br>it's very accurate .	6.420597	1.7824578
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	It was accurate to the minute when it told me when I would arrive home .	It was accurate to the minute when it told me when I would<br>arrive home .	5.3062024	1.2765797
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	0 out of 5 stars GPS Navigator doesn't navigate accurately on a straight road .	0 out of 5 stars GPS Navigator doesn't navigate accurately on a<br>straight road .	5.307747	1.170701
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I was familiar with the streets and only used the Nuvi to get an accurate arrival time estimate .	I was familiar with the streets and only used the Nuvi to get an<br>accurate arrival time estimate .	5.457693	1.4017882
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	but after that it is very easy and quite accurate to use .	but after that it is very easy and quite accurate to use .	4.882174	1.7185378
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The accuracy at this point is very good .	The accuracy at this point is very good .	4.7353563	1.5950977
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	While the 255W routing seems generally accurate and logical, on my first use I discovered that it does have some errors in its internal map .	While the 255W routing seems generally accurate and logical, on<br>my first use I discovered that it does have some errors in its<br>internal map .	5.313027	1.6998067
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Bottom line is I wanted a unit that is accurate and had reliable satellite connection .	Bottom line is I wanted a unit that is accurate and had reliable<br>satellite connection .	5.1153345	2.1236982
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I've used it around town and find it to be extremely accurate .	I've used it around town and find it to be extremely accurate .	5.0507674	1.6080508
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I found the maps to be inaccurate at first, but after I updated them from Garmin's website everything is golden .	I found the maps to be inaccurate at first, but after I updated<br>them from Garmin's website everything is golden .	5.364572	1.7708863
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	A lot of my friends' addresses are inaccurate by any GPS .	A lot of my friends' addresses are inaccurate by any GPS .	5.3247857	1.5662453
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	It loads quickly, have pretty accurate directions, and can recalculate quickly when I miss a turn .	It loads quickly, have pretty accurate directions, and can<br>recalculate quickly when I miss a turn .	5.899784	1.1672592
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Because the accuracy is good to the street address level, it may not be able to guide you to the exact location if your destination is inside a shopping mall .	Because the accuracy is good to the street address level, it may<br>not be able to guide you to the exact location if your<br>destination is inside a shopping mall .	5.5261426	1.5339712
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I updated to the latest 2010 map soon after I received the unit, so the map is accurate to me .	I updated to the latest 2010 map soon after I received the unit,<br>so the map is accurate to me .	5.326065	1.7368263
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I was blown away at the accuracy and routing capability this thing had .	I was blown away at the accuracy and routing capability this<br>thing had .	4.983051	1.754428
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I used it the day I bought it,   and then this morning, and as soon as it comes on it is  ready to navigate  The only downfall of this product, and the only reason I did not give it 5 stars is the fact that the speed limit it displays for the road you are on isn't 100% accurate .	I used it the day I bought it,   and then this morning, and as<br>soon as it comes on it is  ready to navigate  The only downfall<br>of this product, and the only reason I did not give it 5 stars<br>is the fact that the speed limit it displays for the road you<br>are on isn't 100% accurate .	5.2742047	1.0437901
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	If your looking for a nice, accurate GPS for not so much money, got with this one .	If your looking for a nice, accurate GPS for not so much money,<br>got with this one .	5.7689605	1.9669844
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	0 out of 5 stars Inexpensive, accurate, plenty of features, August 6, 2009	0 out of 5 stars Inexpensive, accurate, plenty of features,<br>August 6, 2009	7.745482	7.0856934
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The only glitch I have found so far is that the speed limits are not 100% accurate, although the GPS, amazingly, is able to very accurately tell you how fast your vehicle is moving .	The only glitch I have found so far is that the speed limits are<br>not 100% accurate, although the GPS, amazingly, is able to very<br>accurately tell you how fast your vehicle is moving .	5.6581507	0.939903
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I was a little disappointed in the inaccuracy of the posted speed limit, as I'm guilty of not paying close enough attention to those signs, especially w  interstate speed traps that are constantly changing up and down .	I was a little disappointed in the inaccuracy of the posted<br>speed limit, as I'm guilty of not paying close enough attention<br>to those signs, especially w  interstate speed traps that are<br>constantly changing up and down .	5.3706975	0.74384266
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The closest one that gives the most accurate route that I usually take is the Navigon .	The closest one that gives the most accurate route that I<br>usually take is the Navigon .	5.50331	1.5030048
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	After 2 weeks, it has yet to make a mistake, and is always completely accurate ,  even to the point of telling me which side of the street my destination is on .	After 2 weeks, it has yet to make a mistake, and is always<br>completely accurate ,  even to the point of telling me which<br>side of the street my destination is on .	5.313247	1.1158477
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	It has worked well for local driving giving accurate directions for roads and streets .	It has worked well for local driving giving accurate directions<br>for roads and streets .	5.5694404	1.3133392
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The estimated time to arrival does not seem to calculate the travelling time accurately .	The estimated time to arrival does not seem to calculate the<br>travelling time accurately .	5.0867105	1.7813002
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Accuracy is as good as any other unit, they all sometimes tell you you have arrived when you haven't, or continue to tell you to turn when you're already there .	Accuracy is as good as any other unit, they all sometimes tell<br>you you have arrived when you haven't, or continue to tell you<br>to turn when you're already there .	5.376877	1.90123
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Accuracy is determined by the maps .	Accuracy is determined by the maps .	5.0743623	1.55548
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Less traveled rural roads will not be accurate on any unit .	Less traveled rural roads will not be accurate on any unit .	5.416807	0.8617913
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Accuracy is within a few yards .	Accuracy is within a few yards .	4.847052	1.6039946
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	What the 255w does best is find a street address, business, point of interest, hospital or airport and give you turn, by, turn directions with amazing accuracy .	What the 255w does best is find a street address, business,<br>point of interest, hospital or airport and give you turn, by,<br>turn directions with amazing accuracy .	5.526642	1.4776415
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The Garmin is loaded with very accurate maps that generally know the roads in even the remotest areas .	The Garmin is loaded with very accurate maps that generally know<br>the roads in even the remotest areas .	5.5754232	1.665632
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I'm really glad I bought it though, and like the easy to read graphics, the voice used to tell you the name of the street you are to turn on, the uncannily accurate estimates of mileage and time of arrival at your destination .	I'm really glad I bought it though, and like the easy to read<br>graphics, the voice used to tell you the name of the street you<br>are to turn on, the uncannily accurate estimates of mileage and<br>time of arrival at your destination .	6.464155	1.4737425
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	My new Garmin 255w had very Easy Set Up, Accurate Directions to locations, User Friendly Unit to anyone in my vehicle who tried it .	My new Garmin 255w had very Easy Set Up, Accurate Directions to<br>locations, User Friendly Unit to anyone in my vehicle who tried<br>it .	5.7970033	1.9141133
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I had a GPS 10, years ago when I owned a boat that was difficult to use and with very poor accuracy so I had assumed that the road GPS wasn't any better .	I had a GPS 10, years ago when I owned a boat that was difficult<br>to use and with very poor accuracy so I had assumed that the<br>road GPS wasn't any better .	5.6058435	1.6996051
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Practiced visiting places I already knew to see how accurate the directions and maps would be .	Practiced visiting places I already knew to see how accurate the<br>directions and maps would be .	5.4009132	1.3940858
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Easy to use, excellent accuracy, nice and intuitive interface .	Easy to use, excellent accuracy, nice and intuitive interface .	4.92707	1.9010655
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	The directions provided have all been quite accurate thus far .	The directions provided have all been quite accurate thus far .	5.0050855	1.4029299
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	,  Very Accurate but with one small glitch I found ,  I'll explain in the CONS	,  Very Accurate but with one small glitch I found ,  I'll<br>explain in the CONS	5.600342	1.0991471
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	This is a great GPS, it is so easy to use and it is always accurate .	This is a great GPS, it is so easy to use and it is always<br>accurate .	5.6727233	1.8668354
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Very easy to operate and pretty accurate as well, only led me astray once and that was in northern Maine where roads are few and paved ones fewer .	Very easy to operate and pretty accurate as well, only led me<br>astray once and that was in northern Maine where roads are few<br>and paved ones fewer .	5.517347	1.4453121
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Easy to use and amazed at how accurate this item is .	Easy to use and amazed at how accurate this item is .	4.941516	1.7034478
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	To date it's been a very easy to use and accurate .	To date it's been a very easy to use and accurate .	4.8734193	1.6719638
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Mounted really easily and has been very accurate .	Mounted really easily and has been very accurate .	4.914087	1.6807879
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	seems to be rather accurate .	seems to be rather accurate .	4.630905	1.5699711
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	It was accurate on determing original directions and recalculating when necessary .	It was accurate on determing original directions and<br>recalculating when necessary .	5.383405	1.2444195
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Highly accurate, POIs are great .	Highly accurate, POIs are great .	5.6451387	1.8898355
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	I can't believe how accurate and detailed the information estimated time of arrival,speed limits along the way,and detailed map of my route, to name a few .	I can't believe how accurate and detailed the information<br>estimated time of arrival,speed limits along the way,and<br>detailed map of my route, to name a few .	5.43552	1.4312487
data/topics/accuracy_garmin_nuvi_255W_gps.txt.data	Speed of calculation, accuracy, and simplicity of operation are top notch .	Speed of calculation, accuracy, and simplicity of operation are<br>top notch .	4.9160867	2.0288413
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room was not overly big, but clean and very comfortable beds, a great shower and very clean bathrooms .	The room was not overly big, but clean and very comfortable<br>beds, a great shower and very clean bathrooms .	-5.053711	-3.6060832
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The second room was smaller, with a very inconvenient bathroom layout, but at least it was quieter and we were able to sleep .	The second room was smaller, with a very inconvenient bathroom<br>layout, but at least it was quieter and we were able to sleep .	-6.052829	-3.573773
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Large comfortable room, wonderful bathroom .	Large comfortable room, wonderful bathroom .	-4.3938403	-1.9988835
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The rooms were nice, very comfy bed and very clean bathroom .	The rooms were nice, very comfy bed and very clean bathroom .	-4.8983703	-3.5057678
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Bathroom was spacious too and very clean .	Bathroom was spacious too and very clean .	-5.2535563	-4.389733
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom only had a single sink, but it was very large .	The bathroom only had a single sink, but it was very large .	-5.490756	-4.590243
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room was a standard but nice motel room like any other, bathroom seemed upgraded if I remember .	The room was a standard but nice motel room like any other,<br>bathroom seemed upgraded if I remember .	-5.3136687	-3.7700174
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room was quite small but perfectly formed with a super bathroom .	The room was quite small but perfectly formed with a super<br>bathroom .	-5.228715	-4.244939
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	You could eat off the bathroom floor it was so clean .	You could eat off the bathroom floor it was so clean .	-5.3768187	-4.5072885
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom door does the same thing, making the bathroom seem slightly larger .	The bathroom door does the same thing, making the bathroom seem<br>slightly larger .	-5.4086666	-4.6272764
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	bathroom spotless and nicely appointed .	bathroom spotless and nicely appointed .	-5.483261	-4.671901
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The rooms are exceptionally clean and also the bathrooms .	The rooms are exceptionally clean and also the bathrooms .	-4.4496884	-2.8485873
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was clean and the bed was comfy .	The bathroom was clean and the bed was comfy .	-5.425008	-4.14587
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	They provide you with great aveda products in the bathroom .	They provide you with great aveda products in the bathroom .	-5.3394513	-4.3173757
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Also, the bathroom was a bit dirty ,  brown water came out of the bath tub faucet initially and the sink wall by the toilet was dirty .	Also, the bathroom was a bit dirty ,  brown water came out of<br>the bath tub faucet initially and the sink wall by the toilet<br>was dirty .	-5.6865106	-4.6087675
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	If your dog tends to be a little disruptive or on the noisy side, there is a bathroom fan that you can keep on to make noise .	If your dog tends to be a little disruptive or on the noisy<br>side, there is a bathroom fan that you can keep on to make noise<br>.	-5.765978	-3.4886775
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was big and clean as well .	The bathroom was big and clean as well .	-5.3201265	-4.4640937
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Also, the bathrooms were quite well set up, with a seperate toilet shower to basin, so whilst one guest is showering another can use the basin .	Also, the bathrooms were quite well set up, with a seperate<br>toilet shower to basin, so whilst one guest is showering another<br>can use the basin .	-5.5475254	-4.602737
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was marble and we had luxurious bathrobes and really, every detail attended to .	The bathroom was marble and we had luxurious bathrobes and<br>really, every detail attended to .	-5.304094	-4.3517985
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	It was very clean, had a beautiful bathroom, and was comfortable .	It was very clean, had a beautiful bathroom, and was comfortable<br>.	-5.351232	-4.3505673
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bed was comfortable and the bathroom was clean with a nice selection of toiletries .	The bed was comfortable and the bathroom was clean with a nice<br>selection of toiletries .	-5.3318233	-4.1017346
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was an adequate size .	The bathroom was an adequate size .	-5.3000145	-4.540971
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	First, from day one our bathroom had a urine smell that never went away .	First, from day one our bathroom had a urine smell that never<br>went away .	-5.6159	-4.6739984
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Otherwise the bathroom was decent enough ,  decent temperature and decent water pressure .	Otherwise the bathroom was decent enough ,  decent temperature<br>and decent water pressure .	-5.5482144	-4.6223345
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Bathroom shower curtain reeked of mildew enough to smell up the room .	Bathroom shower curtain reeked of mildew enough to smell up the<br>room .	-5.6855726	-4.594913
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bed was comfortable and the rooms and bathrooms were kept clean and although the refrigerators are honour bars the hotel is happy for you to chill your own drinks in them .	The bed was comfortable and the rooms and bathrooms were kept<br>clean and although the refrigerators are honour bars the hotel<br>is happy for you to chill your own drinks in them .	-4.883229	-3.4416416
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room was very nice, and had a nice bathroom .	The room was very nice, and had a nice bathroom .	-5.0851717	-3.9218676
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room was wonderful with great beds, a nice bathroom and we also had an excellent view of Coit Tower as well .	The room was wonderful with great beds, a nice bathroom and we<br>also had an excellent view of Coit Tower as well .	-5.826429	-2.4608996
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room was small, with a king bed, and a truly claustrophobic bathroom .	The room was small, with a king bed, and a truly claustrophobic<br>bathroom .	-5.1956935	-3.8258846
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Amenities ,  While this hotel isn't a luxury property, they have some nice touches like marble bathrooms, mini bar, room service and an evening wine reception every day   .	Amenities ,  While this hotel isn't a luxury property, they have<br>some nice touches like marble bathrooms, mini bar, room service<br>and an evening wine reception every day   .	-5.3350525	-1.314367
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was clean, well lit, and always well stocked with shampoo etc and towels .	The bathroom was clean, well lit, and always well stocked with<br>shampoo etc and towels .	-5.287383	-4.370158
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The only odd thing was the bathroom door and room door opened outwards into the room and hallway respectively .	The only odd thing was the bathroom door and room door opened<br>outwards into the room and hallway respectively .	-5.5024514	-4.24172
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Room spacious 2 double beds gave us plenty of room, the beds were comfortable and the bathroom was a good size .	Room spacious 2 double beds gave us plenty of room, the beds<br>were comfortable and the bathroom was a good size .	-5.930483	-3.346863
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was large and included a mounted makeup mirror .	The bathroom was large and included a mounted makeup mirror .	-5.2602024	-4.3793473
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The rooms are abit smallish  , but immaculately maintained, and tastefully decorated, with excellent bathroom facilities .	The rooms are abit smallish  , but immaculately maintained, and<br>tastefully decorated, with excellent bathroom facilities .	-4.4856644	-2.7647738
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Shower bathroom was good with good shower and plenty of space .	Shower bathroom was good with good shower and plenty of space .	-5.408489	-4.441113
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Both the bedroom and bathroom had plenty of room .	Both the bedroom and bathroom had plenty of room .	-5.2307076	-4.061671
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	large clean bathrooms fully stocked with everything needed .	large clean bathrooms fully stocked with everything needed .	-4.5471063	-2.1489387
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	However, when we arrived at our room there was a maintenance worker there measuring the bathroom counter, so maybe they're doing work in some units .	However, when we arrived at our room there was a maintenance<br>worker there measuring the bathroom counter, so maybe they're<br>doing work in some units .	-5.6190495	-4.47587
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room was large and very comfortable with a nice large bathroom .	The room was large and very comfortable with a nice large<br>bathroom .	-5.0346193	-3.9643252
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	There is a wall, mounted hair dryer in the bathroom .	There is a wall, mounted hair dryer in the bathroom .	-5.5295863	-4.599753
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The thing that bothered me the most was the bathroom was very dated .	The thing that bothered me the most was the bathroom was very<br>dated .	-5.2426386	-4.287857
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	There is virtually no counterspace in the bathroom at all .	There is virtually no counterspace in the bathroom at all .	-5.255935	-4.562886
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Upon our arrival, there was a SLIGHT odor in bathroom but nothing worth complaining about .	Upon our arrival, there was a SLIGHT odor in bathroom but<br>nothing worth complaining about .	-5.53069	-4.601291
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was adequate with thick, fluffy towels .	The bathroom was adequate with thick, fluffy towels .	-5.3458204	-4.5193605
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was large and private .	The bathroom was large and private .	-5.267009	-4.400002
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom was very clean and well appointed with nice towels and toiletries, it was not big, but room enough to do what one needs to .	The bathroom was very clean and well appointed with nice towels<br>and toiletries, it was not big, but room enough to do what one<br>needs to .	-5.303255	-4.3510504
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The Tuscan Inn room was quite nicely appointed, the bed was comfortable the chairs   TV adequate, the bathroom reasonably good .	The Tuscan Inn room was quite nicely appointed, the bed was<br>comfortable the chairs   TV adequate, the bathroom reasonably<br>good .	-4.8992624	-3.4383948
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	my only real complaint would be that the bathroom does not have a separate vanity area, so 2 people getting dressed had to improvise, which was kind of surprising since the bathrooms were all redone on 2005 .	my only real complaint would be that the bathroom does not have<br>a separate vanity area, so 2 people getting dressed had to<br>improvise, which was kind of surprising since the bathrooms were<br>all redone on 2005 .	-5.3071375	-4.168692
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The clever use of mirrors behind the bed helped to create the illusion of space, however, in reality the room was cramped and with two of us trying to use the hand basin and bathroom at the same time was particularly awkward .	The clever use of mirrors behind the bed helped to create the<br>illusion of space, however, in reality the room was cramped and<br>with two of us trying to use the hand basin and bathroom at the<br>same time was particularly awkward .	-5.674752	-4.16628
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom containing the toilet and the shower was also very small, not to mention the sink and counter directly outside of it .	The bathroom containing the toilet and the shower was also very<br>small, not to mention the sink and counter directly outside of<br>it .	-5.5846972	-4.64877
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Turning the bathroom light on also turns the counter light on, meaning a middle, of, the, night trip to the bathroom means the whole side of the room gets illuminated  and the wooden shutters that were installed in place of traditional curtains to add to the hotel's theme do absolutely nothing to keep the room dark once the sun comes up .	Turning the bathroom light on also turns the counter light on,<br>meaning a middle, of, the, night trip to the bathroom means the<br>whole side of the room gets illuminated  and the wooden shutters<br>that were installed in place of traditional curtains to add to<br>the hotel's theme do absolutely nothing to keep the room dark<br>once the sun comes up .	-5.552032	-3.8135352
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room was a good size but the bathroomm was very small .	The room was a good size but the bathroomm was very small .	-5.064787	-3.712822
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Bathroom was adequate and clean and there was a hairdryer .	Bathroom was adequate and clean and there was a hairdryer .	-5.4790335	-4.5110908
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The wash basin was in the room without any privacy and there was a small bathroom for the toilet and bath shower .	The wash basin was in the room without any privacy and there was<br>a small bathroom for the toilet and bath shower .	-5.592377	-4.5047674
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom had not been remodeled in alignment, but it was all very clean and perfectly acceptable .	The bathroom had not been remodeled in alignment, but it was all<br>very clean and perfectly acceptable .	-5.467233	-4.4192433
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The bathroom had several problems .	The bathroom had several problems .	-5.4223585	-4.6020956
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Bathrooms were also very nice .	Bathrooms were also very nice .	-4.927206	-3.9757833
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The shower stall could have been bigger as the bathroom itself was pretty large .	The shower stall could have been bigger as the bathroom itself<br>was pretty large .	-5.4441504	-4.640175
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	Then they gave us a room which had a view of a wall, a tiny bathroom so small in fact that the sink had to be in the bedroom .	Then they gave us a room which had a view of a wall, a tiny<br>bathroom so small in fact that the sink had to be in the bedroom<br>.	-5.5956755	-4.5224657
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	The room is not the most modern room but there was tons of space especially in the bathroom .	The room is not the most modern room but there was tons of space<br>especially in the bathroom .	-5.1954427	-4.067621
data/topics/bathroom_bestwestern_hotel_sfo.txt.data	We may have had an ADA room because it was pretty big with large bathroom ,  it was room 459 ,  and the room had all the amenities we were looking for .	We may have had an ADA room because it was pretty big with large<br>bathroom ,  it was room 459 ,  and the room had all the<br>amenities we were looking for .	-5.9439545	-3.5323381
